timestamp,inference_time_ms,success
2025-09-11T13:40:58.815651,263.6,True
2025-09-11T14:02:57.999360,150.25,True
2025-09-23T09:25:43.793622,747.22,True
2025-09-23T09:57:39.984987,78.46,True
2025-09-23T11:07:17.693543,321.03,True
2025-09-24T07:52:55.724872,199.4,True
2025-09-24T07:53:06.347179,51.39,True
2025-09-24T07:53:25.654670,48.55,True
2025-09-24T08:05:30.142392,128.73,True
2025-09-24T08:20:11.544382,123.04,True
2025-09-24T08:21:10.138650,50.34,True
2025-09-24T08:46:59.172028,123.74,True
2025-09-24T09:29:48.539956,944.44,True
2025-09-24T09:30:49.519884,52.81,True
2025-09-24T09:32:46.798278,48.44,True
2025-09-24T09:38:12.841365,48.85,True
2025-09-24T09:48:23.567888,106.17,True
2025-09-24T09:48:28.769717,48.94,True
2025-09-24T09:49:05.274270,49.38,True
2025-09-24T09:49:45.968990,48.82,True
2025-09-24T09:55:17.553929,49.33,True
2025-09-24T09:59:37.974297,56.61,True
2025-09-25T11:42:03.293036,889.66,True
2025-09-25T11:57:26.572137,49.33,True
2025-09-25T11:58:14.886839,49.25,True
2025-09-25T11:58:36.550391,48.47,True
2025-09-25T11:59:30.035246,48.52,True
2025-09-25T11:59:40.522498,50.96,True
2025-09-25T12:00:25.128634,75.13,True
2025-09-25T12:00:36.675076,50.81,True
2025-09-25T12:03:19.810473,50.23,True
2025-09-25T12:04:05.390119,48.87,True
2025-09-25T12:04:23.260589,51.94,True
2025-09-25T12:10:09.316820,51.11,True
2025-09-25T12:12:46.342551,54.09,True
2025-09-25T12:33:32.054213,51.39,True
2025-09-25T12:39:50.147041,52.14,True
2025-09-25T12:40:03.099484,50.35,True
2025-09-25T12:45:13.675232,259.04,True
2025-09-25T12:46:27.652745,53.32,True
2025-09-25T12:48:17.528861,138.29,True
2025-09-25T12:51:55.088909,55.44,True
2025-09-25T12:52:39.433444,53.1,True
2025-09-25T12:53:22.521382,54.45,True
2025-09-26T08:26:07.091628,1083.51,True
2025-09-26T08:32:39.717006,166.09,True
2025-09-26T09:36:08.182328,139.37,True
2025-09-26T09:38:51.162949,144.14,True
2025-09-26T09:39:29.967558,58.31,True
2025-09-26T12:12:47.886551,919.24,True
2025-09-26T12:13:20.181737,53.99,True
2025-09-26T12:15:18.351439,51.16,True
2025-09-26T12:17:52.327473,50.8,True
2025-09-26T12:19:00.207879,50.49,True
2025-09-26T12:20:11.699545,50.17,True
2025-09-26T12:30:23.248100,141.0,True
2025-09-26T12:33:36.813694,132.74,True
2025-09-26T12:34:22.742196,51.19,True
2025-09-26T12:36:40.348249,147.91,True
2025-09-26T12:43:10.375540,138.55,True
2025-09-26T12:44:21.764714,57.38,True
2025-09-26T13:12:35.300392,50.2,True
